location,latitude,longitude,aqi,last_updated,size
"Osorno, Chile",-40.584478665958,-73.11871982209,25,2024-05-27T04:00:00+09:00,1
"Las Encinas Temuco, Chile",-38.74869912298,-72.620788228172,163,2024-05-27T03:00:00+09:00,1
"Belisario, Quito, Ecuador",-0.184719,-78.495986,65,2024-05-27T03:00:00+09:00,1
"Hamilton Claudelands, New Zealand",-37.777543176927,175.28715904723,21,2024-05-27T03:00:00+09:00,1
Scottsdale,-41.162,147.515,13,2024-05-27T03:00:00+09:00,1
Upper-hunter Camberwell,-32.472333,151.091803,19,2024-05-27T04:00:00+09:00,1
Blackwater,-23.5627,148.8807,0,2024-05-24T12:00:00+09:00,1
Geraldton,-28.7732192,114.6096326,4,2024-05-27T04:00:00+09:00,1
"Maros, Indonesia",-4.9655024,119.69284341781,54,2024-05-27T04:00:00+09:00,1
"Marikana CC-NAQI, Bojanala Platinum, South Africa",-25.698444,27.480111,80,2024-05-27T04:00:00+09:00,1
"Hastings St Johns, New Zealand",-39.638873262,176.85880199271,25,2024-05-27T03:00:00+09:00,1
New Norfolk,-42.776,147.054,34,2024-05-27T03:00:00+09:00,1
Mountain Creek,-26.6917,153.1038,0,2024-05-24T12:00:00+09:00,1
"Hermanus, Overberg, South Africa",-34.213,19.213,20,2024-05-27T04:00:00+09:00,1
"Eskom-Gourikwa, Mossel Bay, South Africa",-34.179158,22.097439,1,2024-05-27T04:00:00+09:00,1
"Kaiapoi, New Zealand",-43.3830321,172.6569578,96,2024-05-27T04:00:00+09:00,1
Devonport,-41.185,146.345,50,2024-05-27T03:00:00+09:00,1
Morwell Sth.,-38.2392921,146.3873,102,2024-05-27T04:00:00+09:00,1
Rosedale,-38.15588,146.7842,57,2024-05-27T04:00:00+09:00,1
"Eskom-Medupi, Waterberg, South Africa",-23.738521,27.540346,0,2024-05-25T07:00:00+09:00,1
"Taihape Air Quality At Taihape, New Zealand",-39.6778,175.80084,17,2024-05-27T03:00:00+09:00,1
S. Launceston,-41.465,147.148,70,2024-05-27T03:00:00+09:00,1
Swan Hill,-35.34314,143.534088,126,2024-05-27T04:00:00+09:00,1
Oatlands,-42.3,147.372,13,2024-05-27T03:00:00+09:00,1
Deloraine,-41.523,146.658,30,2024-05-27T03:00:00+09:00,1
Northern Adelaide (Elizabeth),-34.698472,138.695751,0,2024-05-24T06:30:00+09:00,1
Boyne Island,-23.9408,151.3507,0,2024-05-24T12:00:00+09:00,1
Western LLS Pooncarie,-33.6016,142.5308,0,2024-05-26T19:00:00+09:00,1
"Logicoop, New Caledonia",-22.235411111111,166.43382777778,62,2024-05-27T01:00:00+09:00,1
Bream Creek,-42.819,147.817,9,2024-05-27T03:00:00+09:00,1
Western LLS Cobar,-31.4837,145.8293,26,2024-05-27T04:00:00+09:00,1
Kalgoorlie,-30.749,121.466,6,2024-05-27T04:00:00+09:00,1
"Kotabaru, Indonesia",-2.79510965,115.97125475604,14,2024-05-27T04:00:00+09:00,1
"Pangkalanbun, Indonesia",-2.676583,111.626448,54,2024-05-27T04:00:00+09:00,1
"Malang, Indonesia",-7.9551897,112.6119383,124,2024-05-27T04:00:00+09:00,1
Kembla Grange Illawarra,-34.47442,150.8192,48,2024-05-27T04:00:00+09:00,1
"Florey, Canberra",-35.220606,149.043539,104,2024-05-27T04:00:00+09:00,1
Orange Central Tablelands,-33.27429,149.09447,54,2024-05-27T04:00:00+09:00,1
Western LLS Bourke,-30.0362,145.9521,4,2024-05-27T04:00:00+09:00,1
Spencer Gulf Whyalla,-33.0343994,137.5849148,0,2024-05-24T06:30:00+09:00,1
Mandurah,-32.5361,115.7424,6,2024-05-27T04:00:00+09:00,1
"Palangka Raya, Indonesia",-2.21,113.92,60,2024-05-27T04:00:00+09:00,1
"Damonsville, Bojanala Platinum, South Africa",-25.625702,27.851825,181,2024-05-27T04:00:00+09:00,1
Murray LLS Rand,-35.6296,146.4752,54,2024-05-27T04:00:00+09:00,1
W. Ulverstone,-41.159,146.146,30,2024-05-27T03:00:00+09:00,1
Melbourne CBD,-37.8073959,144.97,73,2024-05-27T04:00:00+09:00,1
Macleod,-37.722477,145.0576,61,2024-05-27T04:00:00+09:00,1
"Secunda, Gert Sibande, South Africa",-26.550639,29.079028,151,2024-05-27T04:00:00+09:00,1
Campbell Town,-41.928,147.491,13,2024-05-27T03:00:00+09:00,1
Western LLS White Cliffs,-30.8517,143.0742,4,2024-05-27T04:00:00+09:00,1
The Gap,-20.7264,139.4977,0,2024-05-24T12:00:00+09:00,1
"Mafikeng-NAQI, Ngaka Modiri Molema, South Africa",-25.835814,25.614534,184,2024-05-27T04:00:00+09:00,1
Adelaide CBD,-34.928853,138.600943,0,2024-05-24T06:30:00+09:00,1
Western LLS Coombah,-32.9786,141.489,5,2024-05-27T04:00:00+09:00,1
"Henderson, Auckland",-36.86,174.62,7,2024-05-27T06:00:00+09:00,1
Churchill,-38.3043137,146.414932,73,2024-05-27T04:00:00+09:00,1
Murray LLS Deniliquin,-35.5575,144.9458,39,2024-05-27T04:00:00+09:00,1
Tamworth North-west Slopes,-31.109909,150.91451,24,2024-05-27T04:00:00+09:00,1
Central West LLS Parkes,-33.1277,148.2439,23,2024-05-27T04:00:00+09:00,1
"Timaru Anzac Square, New Zealand",-44.4041809,171.2487857,86,2024-05-27T04:00:00+09:00,1
George Town,-41.111,146.836,21,2024-05-27T03:00:00+09:00,1
South East LLS Merimbula,-36.907778,149.898889,10,2024-05-27T04:00:00+09:00,1
Maryborough,-25.5159,152.6894,0,2024-05-24T12:00:00+09:00,1
"Leitrim, Fezile Dabi, South Africa",-26.851461,27.875845,82,2024-05-27T04:00:00+09:00,1
North Parramatta Sydney North-west,-33.79944,150.99778,62,2024-05-27T04:00:00+09:00,1
Clinton,-24.0,151.0,0,2024-05-24T12:00:00+09:00,1
"Banjarbaru, Indonesia",-3.4572422,114.8103181,28,2024-05-27T04:00:00+09:00,1
"Pietermaritzburg Airport - ORIBI, uMgungundlovu, South Africa",-29.637583,30.337389,10,2024-05-27T04:00:00+09:00,1
Queenstown,-42.081,145.553,5,2024-05-27T03:00:00+09:00,1
Springwood,-27.6125,153.1359,0,2024-05-24T12:00:00+09:00,1
Duncraig,-31.8341204,115.7835905,5,2024-05-27T00:00:00+09:00,1
"Geraldine, New Zealand",-44.0911852,171.2437353,52,2024-05-27T04:00:00+09:00,1
GeelongSth.,-38.17356,144.3703,46,2024-05-27T04:00:00+09:00,1
"Pakuranga, Auckland",-36.9,174.89,6,2024-05-27T06:00:00+09:00,1
Goulburn Southern Tablelands,-34.73452,149.72416,29,2024-05-27T04:00:00+09:00,1
Riverina LLS Temora,-34.4278,147.5117,13,2024-05-27T04:00:00+09:00,1
"Montravel, New Caledonia",-22.251180555556,166.45448333333,105,2024-05-27T02:00:00+09:00,1
"Bierspruit, Swartklip, South Africa",-24.91039,27.146564,26,2024-05-27T04:00:00+09:00,1
"eMalahleni -MP Province, Nkangala, South Africa",-25.92225,29.24163,19,2024-05-26T23:00:00+09:00,1
"Taupo Gillies Ave, New Zealand",-38.691894931917,176.09117495496,17,2024-05-27T03:00:00+09:00,1
Bathurst Central Tablelands,-33.40192,149.5746,20,2024-05-27T04:00:00+09:00,1
Western LLS Hillston,-33.491,145.5242,30,2024-05-27T04:00:00+09:00,1
Western LLS Ivanhoe,-33.0548,144.154,2,2024-05-27T04:00:00+09:00,1
Spencer Gulf Pt Pirie Oliver St,-33.194818,138.020014,0,2024-05-24T06:30:00+09:00,1
Katherine,-14.465331,132.270787,8,2024-05-27T02:30:00+09:00,1
"Antananarivo US Embassy, Madagascar",-18.908479690552,47.537509918213,68,2024-05-27T04:00:00+09:00,1
"Tokoroa Billah Street, New Zealand",-38.221616742597,175.85843044074,38,2024-05-27T03:00:00+09:00,1
Oakdale Sydney South-west,-34.05169,150.498,50,2024-05-27T04:00:00+09:00,1
Riverina LLS Narrandera,-34.705,146.514,46,2024-05-27T04:00:00+09:00,1
Mallee CMA Walpeup,-35.1202,142.004,13,2024-05-27T03:00:00+09:00,1
Port Macquarie Bushfire Emergency - Port Macquarie,-31.44747,152.87707,14,2024-05-27T04:00:00+09:00,1
Busselton,-33.6499446,115.3446115,11,2024-05-27T04:00:00+09:00,1
"Samarinda, Indonesia",-0.4948232,117.1436154,64,2024-05-27T04:00:00+09:00,1
North Central CMA Loddon Plains,-36.4538,144.3186,26,2024-05-27T04:00:00+09:00,1
Mildura,-34.1635132,142.139374,82,2024-05-27T04:00:00+09:00,1
Western LLS Euston,-34.443,142.889,4,2024-05-27T04:00:00+09:00,1
SA Murray Darling Basin Lameroo,-35.3778,140.5378,10,2024-05-27T04:00:00+09:00,1
Central West LLS Condobolin,-33.0665,147.2283,13,2024-05-27T04:00:00+09:00,1
Southport,-27.9612,153.4024,0,2024-05-24T12:00:00+09:00,1
"Orange Farm, City of Johannesburg, South Africa",-26.479639,27.867111,78,2024-05-27T04:00:00+09:00,1
Mallee CMA Werrimull,-34.4684,141.5728,13,2024-05-27T04:00:00+09:00,1
Rouse Hill Sydney North-west,-33.682778,150.903611,60,2024-05-27T04:00:00+09:00,1
North West LLS Walgett,-30.0359,148.1231,10,2024-05-27T04:00:00+09:00,1
Ayr,-19.5839,147.4059,0,2024-05-24T12:00:00+09:00,1
Coastguard,-19.2526,146.8272,0,2024-05-24T12:00:00+09:00,1
"Talang Betutu Palembang, Indonesia",-2.9419703,104.6688562,80,2024-05-27T04:00:00+09:00,1
"Hammanskraal, City of Tshwane, South Africa",-25.38512,28.254542,32,2024-05-27T04:00:00+09:00,1
Collie,-33.3588705,116.1540412,4,2024-05-27T04:00:00+09:00,1
"Station Blvd Banks, Reunion, France",-21.331666666667,55.478638888889,29,2024-05-27T03:00:00+09:00,1
"Lislet Geoffroy, Reunion, France",-20.889833333333,55.469111111111,13,2024-05-27T03:00:00+09:00,1
"Brackenham - RBCAA, King Cetshwayo, South Africa",-28.787027,32.021848,68,2024-05-26T23:00:00+09:00,1
"Goodwood-NAQI, City of Cape Town, South Africa",-33.9025,18.565194,101,2024-05-27T04:00:00+09:00,1
Moranbah,-21.9995,148.071,0,2024-05-24T12:00:00+09:00,1
"Thames Thames High School, New Zealand",-37.14049055416,175.54629322731,10,2024-05-27T03:00:00+09:00,1
Fingal,-41.638,147.967,13,2024-05-27T03:00:00+09:00,1
Bargo Sydney South-west,-34.30619,150.5805,30,2024-05-27T04:00:00+09:00,1
North West LLS Gunnedah,-30.981667,150.260556,52,2024-05-27T04:00:00+09:00,1
Central West LLS Dubbo,-32.2196,148.5777,23,2024-05-27T04:00:00+09:00,1
Western LLS Tibooburra,-29.4448,142.0568,7,2024-05-27T04:00:00+09:00,1
"Base Vie, New Caledonia",-22.314563888889,166.902925,0,2024-05-26T20:00:00+09:00,1
"Semarang, Indonesia",-6.9903988,110.4229104,154,2024-05-27T04:00:00+09:00,1
"Bengkulu, Indonesia",-3.5186763,102.5359834,119,2024-05-27T04:00:00+09:00,1
"Supadio, Indonesia",-0.36948415,109.51235577106,50,2024-05-27T04:00:00+09:00,1
