location,latitude,longitude,aqi,last_updated,size
"U.C. Maule, Chile",-35.435725588722,-71.619553864003,168,2024-05-27T18:00:00+09:00,1
"Rancagua II, Chile",-34.143888375919,-70.737131207664,195,2024-05-27T12:00:00+09:00,1
"Antofagasta, Chile",-23.61354215815,-70.383315682411,61,2024-05-27T18:00:00+09:00,1
South East LLS Merimbula,-36.907778,149.898889,20,2024-05-27T17:00:00+09:00,1
Western LLS White Cliffs,-30.8517,143.0742,7,2024-05-27T14:00:00+09:00,1
"Brackenham - RBCAA, King Cetshwayo, South Africa",-28.787027,32.021848,55,2024-05-27T15:00:00+09:00,1
"Penrose, Auckland",-36.9,174.81,21,2024-05-27T18:00:00+09:00,1
Bendigo,-36.7784,144.300064,111,2024-05-27T18:00:00+09:00,1
Tamworth North-west Slopes,-31.109909,150.91451,47,2024-05-27T17:00:00+09:00,1
North West LLS Walgett,-30.0359,148.1231,10,2024-05-27T17:00:00+09:00,1
"Eskom-Majuba, Gert Sibande, South Africa",-27.112752,29.800233,18,2024-05-27T15:00:00+09:00,1
"Ermelo-NAQI, Gert Sibande, South Africa",-26.493348,29.968054,0,2024-05-27T07:00:00+09:00,1
"Hostel, Swartklip, South Africa",-24.978439,27.140602,15,2024-05-27T18:00:00+09:00,1
"Timaru Anzac Square, New Zealand",-44.4041809,171.2487857,166,2024-05-27T17:00:00+09:00,1
Swan Hill,-35.34314,143.534088,37,2024-05-27T18:00:00+09:00,1
Mallee CMA Werrimull,-34.4684,141.5728,6,2024-05-27T17:00:00+09:00,1
Central West LLS Condobolin,-33.0665,147.2283,10,2024-05-27T17:00:00+09:00,1
Toowoomba,-27.535158,151.931893,11,2024-05-27T18:00:00+09:00,1
Ayr,-19.5839,147.4059,11,2024-05-27T18:00:00+09:00,1
"Morrinsville Morrinsville College, New Zealand",-37.649612622395,175.53579672352,7,2024-05-27T16:00:00+09:00,1
Upper-hunter Merriwa,-32.125777,150.459299,14,2024-05-27T17:00:00+09:00,1
Cairns,-16.96162,145.7436,11,2024-05-27T18:00:00+09:00,1
Stokes Hill,-12.467003,130.850577,55,2024-05-27T17:30:00+09:00,1
"Kototabang, Indonesia",-0.2028171,100.315808,38,2024-05-27T18:00:00+09:00,1
"Steelpoort, Sekhukhune, South Africa",-24.731501,30.134383,69,2024-05-27T15:00:00+09:00,1
"Pangkalanbun, Indonesia",-2.676583,111.626448,21,2024-05-27T18:00:00+09:00,1
"Settlers-NAQI, eThekwini Metro, South Africa",-29.958742,30.978717,73,2024-05-27T15:00:00+09:00,1
Churchill,-38.3043137,146.414932,62,2024-05-27T18:00:00+09:00,1
Oakdale Sydney South-west,-34.05169,150.498,31,2024-05-27T17:00:00+09:00,1
Riverina LLS Narrandera,-34.705,146.514,23,2024-05-27T17:00:00+09:00,1
Central West LLS Dubbo,-32.2196,148.5777,14,2024-05-27T17:00:00+09:00,1
Spencer Gulf Whyalla Schulz Res,-33.023595,137.533239,31,2024-05-27T17:30:00+09:00,1
"Banjarbaru, Indonesia",-3.4572422,114.8103181,63,2024-05-27T18:00:00+09:00,1
"Eskom-Ezamokuhle, Nkangala, South Africa",-25.978832,28.942892,87,2024-05-27T15:00:00+09:00,1
"Leitrim, Fezile Dabi, South Africa",-26.851461,27.875845,188,2024-05-27T17:00:00+09:00,1
North Coast LLS Grafton,-29.620556,152.96333,7,2024-05-27T17:00:00+09:00,1
Mountain Creek,-26.6917,153.1038,11,2024-05-27T18:00:00+09:00,1
"Mhluzi, Nkangala, South Africa",-25.74982,29.446818,2,2024-05-27T15:00:00+09:00,1
"Eskom-Silobela, Gert Sibande, South Africa",-26.086232,30.110653,0,2024-05-27T07:00:00+09:00,1
Triabunna,-42.509,147.913,17,2024-05-27T18:00:00+09:00,1
W. Ulverstone,-41.159,146.146,57,2024-05-27T18:00:00+09:00,1
Northern Adelaide (Elizabeth),-34.698472,138.695751,48,2024-05-27T17:30:00+09:00,1
Narrabri North-west Slopes,-30.31842,149.82932,15,2024-05-27T17:00:00+09:00,1
Mandurah,-32.5361,115.7424,4,2024-05-27T18:00:00+09:00,1
"ES_Motherwell, Alfred Nzo, South Africa",-33.789662,25.618592,43,2024-05-27T17:00:00+09:00,1
"Nelson South Nelson At St Vincent St, New Zealand",-41.27822953,173.27352648,34,2024-05-27T16:00:00+09:00,1
Riverina LLS Griffith,-34.2487,146.0695,13,2024-05-27T17:00:00+09:00,1
Newcastle Lower Hunter,-32.93118,151.7596,55,2024-05-27T18:00:00+09:00,1
Spencer Gulf Pt Pirie Oliver St,-33.194818,138.020014,36,2024-05-27T17:30:00+09:00,1
"Semarang, Indonesia",-6.9903988,110.4229104,82,2024-05-27T18:00:00+09:00,1
"Lore Lindu, Indonesia",-1.5190466,120.18524658954,16,2024-05-27T14:00:00+09:00,1
"Tshwane Market, City of Tshwane, South Africa",-25.740247,28.170315,157,2024-05-27T15:00:00+09:00,1
Latrobe,-41.238,146.42,42,2024-05-27T18:00:00+09:00,1
SA Murray Darling Basin Lameroo,-35.3778,140.5378,6,2024-05-27T17:00:00+09:00,1
Western LLS Pooncarie,-33.6016,142.5308,0,2024-05-26T19:00:00+09:00,1
"Montravel, New Caledonia",-22.251180555556,166.45448333333,26,2024-05-27T14:00:00+09:00,1
Duncraig,-31.8341204,115.7835905,5,2024-05-27T18:00:00+09:00,1
"Kotabaru, Indonesia",-2.79510965,115.97125475604,5,2024-05-27T18:00:00+09:00,1
"Saldanha IDZ, West Coast, South Africa",-32.98312,17.98497,12,2024-05-27T18:00:00+09:00,1
"Ashburton, New Zealand",-43.9083813,171.7485672,106,2024-05-27T17:00:00+09:00,1
"Florey, Canberra",-35.220606,149.043539,56,2024-05-27T18:00:00+09:00,1
Wyong Central Coast,-33.27896,151.4324,25,2024-05-27T17:00:00+09:00,1
Emerald,-23.5208,148.165,11,2024-05-27T18:00:00+09:00,1
"Jambi, Indonesia",-1.6318964,103.6414547,54,2024-05-27T18:00:00+09:00,1
"Supadio, Indonesia",-0.36948415,109.51235577106,25,2024-05-27T18:00:00+09:00,1
Campbell Town,-41.928,147.491,25,2024-05-27T18:00:00+09:00,1
Smithton,-40.85,145.133,21,2024-05-27T18:00:00+09:00,1
"Sleman, Indonesia",-7.6894175,110.38129042693,140,2024-05-27T18:00:00+09:00,1
Katherine,-14.465331,132.270787,11,2024-05-27T18:30:00+09:00,1
"Grand Fond, Reunion, France",-21.044583333333,55.226713888889,0,2024-05-27T17:00:00+09:00,1
Lilydale,-41.25,147.217,30,2024-05-27T18:00:00+09:00,1
Traralgon,-38.1942825,146.531464,75,2024-05-27T18:00:00+09:00,1
North Central CMA Loddon Plains,-36.4538,144.3186,10,2024-05-27T17:00:00+09:00,1
"Base Vie, New Caledonia",-22.314563888889,166.902925,0,2024-05-26T22:00:00+09:00,1
West Mackay,-21.1595,149.1549,11,2024-05-27T18:00:00+09:00,1
Albany,-35.0238227,117.8847286,8,2024-05-27T18:00:00+09:00,1
Riverina LLS Hay,-34.5348,144.8291,13,2024-05-27T17:00:00+09:00,1
